,pc_100,pc_98,pc_96,pc_94,pc_92,pc_90,history
0,153,153,161,167,185,203,1283
1,153,157,151,163,189,183,1283
2,153,153,159,175,181,196,1283
3,153,153,149,171,175,197,1283
4,153,151,161,165,175,173,1283
5,153,153,159,165,177,191,1283
6,153,151,163,171,168,191,1283
7,153,153,155,175,181,181,1283
8,153,153,157,179,185,196,1283
9,153,157,151,163,172,215,1283
10,153,151,149,155,193,197,1283
11,153,161,159,161,181,183,1283
12,153,153,153,165,181,191,1283
13,153,153,159,169,163,181,1283
14,153,151,161,169,189,199,1283
15,153,155,151,165,176,185,1283
16,153,155,159,175,169,191,1283
17,153,155,155,157,171,197,1283
18,153,155,161,157,167,201,1283
19,153,155,157,161,168,193,1283
20,153,155,149,163,167,187,1283
21,153,153,157,171,171,199,1283
22,153,151,159,177,175,193,1283
23,153,151,161,165,183,183,1283
24,153,153,163,171,177,201,1283
25,153,153,161,161,179,183,1283
26,153,149,161,167,165,188,1283
27,153,149,159,173,169,199,1283
28,153,151,155,165,179,197,1283
29,153,149,151,161,177,183,1283
30,153,151,151,171,159,191,1283
31,153,151,147,167,173,194,1283
32,153,151,161,157,185,213,1283
33,153,153,151,161,199,213,1283
34,153,151,151,171,174,202,1283
35,153,153,159,163,179,177,1283
36,153,153,163,181,175,191,1283
37,153,157,157,167,177,207,1283
38,153,153,165,167,171,210,1283
39,153,153,147,167,188,201,1283
40,153,153,157,165,176,195,1283
41,153,151,161,161,182,209,1283
42,153,153,163,161,177,191,1283
43,153,155,163,177,177,191,1283
44,153,151,159,167,185,193,1283
45,153,153,161,165,178,201,1283
46,153,153,163,175,199,207,1283
47,153,153,165,165,188,191,1283
48,153,155,149,173,182,209,1283
49,153,153,153,161,171,192,1283
50,153,153,163,169,171,185,1283
51,153,153,153,157,177,191,1283
52,153,155,155,165,179,193,1283
53,153,157,159,179,191,209,1283
54,153,151,161,167,169,196,1283
55,153,153,155,161,185,180,1283
56,153,153,155,171,185,186,1283
57,153,155,165,169,169,200,1283
58,153,155,161,167,187,195,1283
59,153,153,151,167,167,187,1283
